评论ID,评论时间,评论内容,商品_颜色,评论得分,用户昵称
23216323295,2025-05-02 18:01:48,"华为WATCH GT5用了两天了，真香！
情绪监测挺准的，有时候突然提醒我&lsquo;压力偏高&rsquo;，才发现自己确实在焦虑，立马深呼吸调整；运动涂鸦好玩，跑步路线能画个爱心或者星星，发朋友圈直接被赞爆！  熊猫表盘可爱捏！
外观很耐造，不小心磕了几次，表圈一点划痕都没有，屏幕也扛刮。续航给力，预计充一次用一周没问题，出门不用带充电器，爽歪歪～&rdquo;",46mm大表 幻夜黑,5,羊***哥
23331053202,2025-05-09 16:41:19,"适程度：佩戴上很舒服。
续航能力：新手表没充电，续航不错。主要功能：功能很强大，满足使用。
做工质量：很好，相信华为。
外形外观：很帅气，好看！
值得购买，快递很快，有国补，简直太香了。",46mm大表 苍山灰,5,靳***华
23280325247,2025-05-06 19:13:23,续航能力超强，充电速度也很快，外观设计的简洁大气上档次，表带也很柔软，戴起来很舒服，耐刮耐磨。功能也很齐全，运动涂鸦，心率监测，情绪监测等，很适合年轻一族，表盘样式丰富，每天都可以换着花样带，值得入手,46mm大表 砂砾棕,5,张***儿
23588319230,2025-05-24 13:09:27,看来看去，还是喜欢帕托蓝的独一无二，复合编织表带戴的很舒适，透气。表体采用不锈钢材质，耐磨没话说，越看越喜欢。搭载鸿蒙操作系统，使用很丝滑流畅。它无时无刻都在关心我的健康，心率、血氧、压力、情绪变化状况...让我知道目前我的身体状况，能更好的运动锻炼。,46mm大表 托帕蓝,5,Z***J
21957938211,2024-12-17 15:23:18,买早了2天，双十二各平台都便宜好多,46mm大表 砂砾棕 ,3,j***q
23602643293,2025-05-25 21:48:51,"功能全面，支持心率、血氧及睡眠数据检测。功能挺多的，监测睡眠，肺功能，心率检测，太喜欢了。
它外观设计时尚精致，材质亲肤舒适，日常佩戴百搭，黑色适合男生大气，非常好看，很高大上。健康监测精准全面，运动模式超丰富，还能精准定位。续航能力强，一周一充很省心，另外还有情绪检测功能，可以始终提示关注自己的情绪，功能强大，非常值得入手。",46mm大表 幻夜黑,5,0***f
23356124009,2025-05-10 18:16:36,"主要功能：玄机感知系统健康指标监测心率 血氧 呼吸率 压力 体温等功能，重点喜欢情绪健康，表盘样式很多可随意切换，运动涂鸦可以根据制定的路线进行涂鸦

续航能力：续航很长，充一次电能用半个月

舒适程度：戴上轻便不压手，黑色很百搭，手表很耐磨",46mm大表 幻夜黑,5,哆***梦
23274577565,2025-05-06 11:50:26,"华为WATCH GT5真的挺懂我，昨晚戴手上打游戏它能随时&ldquo;猜&rdquo;到你的心情变化。华为的心率监测就更不用多说了，准确度应该是穿戴t0级了。
外观超耐造，银色金属表壳，多样表盘，精致百搭！
佩戴舒服，硅胶表带软乎乎的，出汗不黏手，表底圆润不硌手腕，跑步睡觉都不用摘。",46mm大表 苍山灰,5,对***边
23469444093,2025-05-16 17:59:08,手表戴上后比图片上感觉更好看，各种的表盘很丰富，这个表带也是很意外的舒适。还有情绪监测功能感觉很准确，还能够引导深呼吸平复心情。运动方面就不用说了，华为的手表一直就很精准功能也很齐全。另外国补这个价格买到真的很划算。,46mm大表 苍山灰,5,0***5
23281745216,2025-05-06 20:59:14,华为HUAWEI WATCH GT 5手表外观高端大气，黑色适合男生佩戴，超级好看。功能强大，睡眠监测、体温监测、心率监测等等，还有超多种运动模式。情绪监测功能非常好用，可以实时监测自己的心情，适时调整，非常不错！,46mm大表 幻夜黑,5,j***l
23585353179,2025-05-24 07:11:01,"主要功能：很实用
续航能力：非常给力
舒适程度：很舒服
精准程度：精准都很好

灵敏度：灵敏度非常好。
操作难易：操作很容易
做工质量：做工良好
外形外观：高端大气",46mm大表 托帕蓝,5,w***8
23211035499,2025-05-02 10:24:18,"以前那个华为荣耀用了5年，电池和屏幕都有问题，看了很久，还是选回华为新岀的GT5,参加国补，价格挺香的，相比老款，功能更强大，更流畅，表带带着更舒服，其他也熟悉得很，至于续航，刚上手，用段时间才知道，不过相信华为，明天带上跑步去！",46mm大表 苍山灰,5,z***k
23370729125,2025-05-11 19:38:42,华为watch GT5 着实令人惊喜。情绪实时查看及时调整心态，屏幕显示细腻清晰，阳光下也能轻松看清，外观设计简约大气无论是商务场合还是日常休闲的场合，在运动方面精准的运动数据记录，让我能更好地了解自己的锻炼情况，而且睡眠监测功能也很适用，不用频繁充电，操作简单流畅容易上手，总的来说，华为获取GT五以出色的性能和时尚的外观成为了我生活中的得力助手。,46mm大表 幻夜黑,5,蘇***與
23439196032,2025-05-15 12:49:06,"情绪检测：经过连续几天的试用，我发现这款情绪检测工具的准确率惊人地高。它不仅能够准确捕捉我的情绪变化，而且提供的应对建议也非常实用。界面友好，操作简便，真心推荐给需要情绪管理的朋友们！
产品外观：这款手表真是让人惊喜，它的外观设计精美绝伦，无论是搭配正装还是休闲装都显得优雅大方。表盘清晰易读，每一次查看时间都成为一种享受。绝对值得推荐给追求品质生活的你。
很耐磨防刮",46mm大表 苍山灰,5,j***1
23484097080,2025-05-17 18:49:00,哇，终于收到心心念念的手表啦，京东平台好方便哦，当天买第2天就送到家，物流速度超快！手表我关注很久了，苍山灰超好看，然后收到就迫不及待的玩起来啦，功能挺好的，表盘超漂亮，很有设计感，表带手感很舒服，功能很多，刚拿到还在摸索阶段，总之非常漂亮，非常喜欢。先付上几张刚刚摸索的一些功能界面。,46mm大表 苍山灰,5,恰***李
23585432632,2025-05-24 07:28:53,"主要功能：检测运动数据特别准确
续航能力：充一次电，可以用两三个星期
舒适程度：佩戴合适
精准程度：可以准确检测我的情绪
外形外观：外观简约大方
做工质量：表带特别舒适，表盘耐刮耐磨
操作难易：上手简单",46mm大表 苍山灰,5,8***c
23591036149,2025-05-24 18:32:27,"续航能力：续航特强！
主要功能：可以监测心脏，情绪，睡眠等等
外形外观：外形时尚，大爱了！
操作难易：操作简单易学！反应灵敏！
到底是新款的，高端大气上档次！",46mm大表 幻夜黑,5,j***h
23355541890,2025-05-10 17:27:23,"新款仓山灰的配色很漂亮，之前一直想买托帕蓝的，但是一直犹豫，这次仓山灰果断下手！
表盘样式很多，很漂亮，我喜欢五福临门和数字表盘
现在的生活浮躁，手表有情绪检测功能，能了解自己的情绪变化，然后可以自己调整心态，不要太丧。
手表配合NFC功能可以当车钥匙和门禁卡使用，不用掏手机了，也不用带车钥匙了，很方便，看看续航能力怎么样吧",46mm大表 苍山灰,5,刘***的
23372438169,2025-05-11 22:11:04,心心念念了好久的gt5终于到手了，趁着国补买非常划算，超级喜欢。苍山灰颜色非常好看，表带也是亲肤的柔软材质上手非常显年轻。各项功能都很实用，尤其喜欢这个小熊猫测情绪健康，互动性很强，总之各项功能都很喜欢，强烈推荐！,46mm大表 苍山灰,5,j***g
23369778569,2025-05-11 18:14:42,看了很久华为这款智能手表，因为手机是荣耀的，一直担心兼容性不好，入手后发现很多惊喜，情绪监测非常有用，胖胖的熊猫也很可爱，运动涂鸦也非常有创意，产品外观看起来很高端大气，耐磨材质，带了几天，没有任何划痕。总的来说，我个人还是比较满意的👍,46mm大表 幻夜黑,5,清***味
23473564287,2025-05-16 21:58:18,使用后，华为WATCH GT 5的表现超乎预期！情绪监测功能非常实用，能通过心率变化实时反馈压力状态，帮助我及时调整作息；表盘采用蓝宝石玻璃材质，日常磕碰无划痕，佩戴去健身房也完全不用担心磨损。运动涂鸦功能趣味性十足，锻炼数据以涂鸦形式呈现，让运动记录更生动。附上亮屏佩戴图及情绪表盘截图，颜值与实力并存，强烈推荐！,46mm大表 苍山灰,5,b***3
23213621699,2025-05-02 14:04:52,使用HUAWEI WATCH GT 5这段时间，最让我惊喜的是它的情绪监测功能！通过表盘实时查看压力指数，配合呼吸训练，能快速调整状态，对工作党来说简直是解压神器。另外，运动涂鸦表盘设计很有创意，每次跑步都能切换不同风格，让运动多了份趣味。手表外观也超赞，玻璃镜面非常耐刮，日常磕碰完全无痕，戴了两周依然如新。续航也很给力，充一次电用一周毫无压力。总之，颜值与实力并存，体验超出预期！,46mm大表 幻夜黑,5,原***4
23546735762,2025-05-21 16:21:33,入手HUAWEI WATCH GT 5有段时间啦，外观真的很戳我！表身线条流畅，金属材质质感满满，日常佩戴磕磕碰碰也没留下明显划痕，耐刮耐磨这块表现优秀。 而且情绪监测功能超实用，能实时感知我的情绪状态，提醒我适时放松。运动涂鸦功能也很有趣，运动时随手记录心情和轨迹，仪式感拉满~,46mm大表 托帕蓝,5,6***7
23423674426,2025-05-14 18:46:37,华为运动手表，各个功能非常齐全，颜色也很漂亮，每天的各种提示非常到位，每星期冲一次电，是一个比较理想的运动手表，非常喜欢。,46mm大表 托帕蓝,5,方***9
21542434578,2024-10-11 17:54:33,也就外观颜值了。功能一般。,46mm大表 托帕蓝 ,3,v***q
23513809076,2025-05-19 22:02:02,这款手表真的太棒了！👍 屏幕清晰显示时间、心率等信息，运动监测功能也很强大！黑色表带设计简约大气，佩戴舒适又时尚💪，经过三天的使用，期间有一次一小时的慢跑，掉电量非常满意，按照这样估计用两个礼拜应该没问题，另外睡眠监测感觉也蛮准的，性价比超高的一款智能手表，强烈推荐给大家！🌟,46mm大表 幻夜黑,5,5***k
23304996357,2025-05-08 08:08:59,"这个手表有情绪检测功能，配合熊猫表盘可通过熊猫表情变化反应佩戴者的情绪变化，这个功能还是挺准的，能比较真实地反映情绪变化＋。
本人喜欢跑步、羽毛球，运动检测功能实时的记录运动的里程和消耗的热量，而且还能还能通过蓝牙耳机听歌，省去了带手机的麻烦。
46mm的外观很大气，表盘灵敏且耐磨，特别是表带戴上很是舒服。",46mm大表 苍山灰,5,j***7
23217712920,2025-05-02 19:56:42,"续航能力:  华为智能手表的做工和功能更精良，匠心制造和符合人体工学的设计很人性化。
舒适程度:  贴合手腕的呼吸感硅胶表带,上手很
轻盈，感觉不到重量。
主要功能:  首创的玄现感知系统，46mm的标配
黑色硅胶表带。简约大气的类八边行表盘设计,
人工蓝宝石的手表镜面设计。
精准程度:  能很准确告知使用者的情绪变化,很
用心的表盘后台设计。
总而言之，梦中情表，爱了爱了",46mm大表 幻夜黑,5,熬***W
23370913880,2025-05-11 19:54:46,"续航能力：特意买的46mm的，续航要好很多。
舒适程度：表带带着舒服，还得是原装的。
其他特色：情绪表盘看着也会心情好些，种类很多。
外形外观：几种款式都不错，也比较耐磨耐刮，家人喜欢。",46mm大表 苍山灰,5,稳***投
23183004316,2025-04-30 11:40:24,"华为WATCH GT5颜值高大气，圆形表盘搭配金属表圈。
主要功能：功能强大应有尽有，心脏健康、情绪健康、睡眠监测精准。
续航能力：充满电预估可以续航一个星期
舒适程度：表带佩戴起来很舒服，不会勒手腕
操作难易：操作简单易懂
外形外观：外有颜值，内有玄机
其他特色：1元开通7天会员，随便下载表盘",46mm大表 幻夜黑,5,-***仔
23439381019,2025-05-15 12:58:26,"主要功能：该有的都有
续航能力：比苹果好
舒适程度：很满意
精准程度：跑步，睡眠都可以
灵敏度：还可以，满意
准确性：没问题
操作难易：简单易操作
做工质量：满意
外形外观：很漂亮。
参加了国补，到手比较便宜，手表可以刷电梯，乘地铁，很方便。",46mm大表 托帕蓝,5,y***b
